
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
   5 |      613 | Navigations_headed_xml/Parsed_texts/A39488_parsed_text.txt   |     5522 |   1.000000

Rank | Word            |      Value
-----------------------------------
   1 | maiestie        |   0.005352
   2 | subiects        |   0.005319
   3 | maiesties       |   0.005002
   4 | proclamation    |   0.004605
   5 | realme          |   0.004576

######## Topic 6 ########
Documents: 15 (2.03%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      538 | Navigations_headed_xml/Parsed_texts/A55157_parsed_text.txt   |     4958 |   1.000000
   2 |      317 | Navigations_headed_xml/Parsed_texts/A01564_parsed_text.txt   |     9831 |   1.000000
   3 |      162 | Navigations_headed_xml/Parsed_texts/A04523_parsed_text.txt   |    20937 |   1.000000
   4 |      673 | Navigations_headed_xml/Parsed_texts/A19038_parsed_text.txt   |    18478 |   1.000000
   5 |      611 | Navigations_headed_xml/Parsed_texts/A20033_parsed_text.txt   |    37571 |   1.000000

Rank | Word            |      Value
-----------------------------------
   1 | hym             |   0.011521
   2 | kynge           |   0.005578
   3 | syr             |   0.005476
   4 | wyll            |   0.005237
   5 | myght           |   0.004990

######## Topic 7 ########
Documents: 41 (5.55%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      171 | Navigations_headed_xml/Parsed_texts/A47358_parsed_text.txt   |   640735 |   0.995882
   2 |      359 | Navigations_headed_xml/Parsed_texts/A28785_parsed_text.txt   |   543195 |   0.986741
   3 |      618 | Navigations_headed_xml/Parsed_texts/A30955_parsed_text.txt   |    18014 |   0.972456
   4 |      632 | Navigations_headed_xml/Parsed_texts/A12598_parsed_text.txt   |  1077383 |   0.965828
   5 |      296 | Navigations_headed_xml/Parsed_texts/A36791_parsed_text.txt   |  4273637 |   0.916677

Rank | Word            |      Value
-----------------------------------
   1 | county          |   0.002109
   2 | shire           |   0.001926
   3 | church          |   0.001303
   4 | henry           |   0.001227
   5 | edward          |   0.001225

######## Topic 8 ########
Documents: 32 (4.33%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      612 | Navigations_headed_xml/Parsed_texts/A11841_parsed_text.txt   |     6212 |   1.000000
