
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
   3 |       45 | Navigations_headed_xml/Parsed_texts/A22549_parsed_text.txt   |     7751 |   0.965992
   4 |      537 | Navigations_headed_xml/Parsed_texts/A22026_parsed_text.txt   |     5544 |   0.936325
   5 |      660 | Navigations_headed_xml/Parsed_texts/A22067_parsed_text.txt   |     8663 |   0.932053

Rank | Word            |      Value
-----------------------------------
   1 | haue            |   0.019032
   2 | maiestie        |   0.017515
   3 | subiects        |   0.015658
   4 | maiesties       |   0.014723
   5 | realme          |   0.014223

######## Topic 1 ########
Documents: 60 (8.12%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      325 | Navigations_headed_xml/Parsed_texts/A32650_parsed_text.txt   |     5092 |   0.999691
   2 |      339 | Navigations_headed_xml/Parsed_texts/A32649_parsed_text.txt   |     5899 |   0.994459
   3 |      279 | Navigations_headed_xml/Parsed_texts/A32493_parsed_text.txt   |     5540 |   0.990801
   4 |      180 | Navigations_headed_xml/Parsed_texts/A40561_parsed_text.txt   |     6761 |   0.977621
   5 |      528 | Navigations_headed_xml/Parsed_texts/A25307_parsed_text.txt   |     6981 |   0.960292

Rank | Word            |      Value
-----------------------------------
   1 | majesty         |   0.012097
   2 | majesties       |   0.011452
   3 | ireland         |   0.007849
   4 | 2013            |   0.007364
   5 | irish           |   0.007240

######## Topic 2 ########
Documents: 26 (3.52%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |       61 | Navigations_headed_xml/Parsed_texts/A48344_parsed_text.txt   |   273482 |   0.868737
   2 |      717 | Navigations_headed_xml/Parsed_texts/A41415_parsed_text.txt   |     8060 |   0.843286
   3 |      137 | Navigations_headed_xml/Parsed_texts/A48339_parsed_text.txt   |   291278 |   0.786196
   4 |      356 | Navigations_headed_xml/Parsed_texts/A52487_parsed_text.txt   |   314569 |   0.746476
   5 |      175 | Navigations_headed_xml/Parsed_texts/A40766_parsed_text.txt   |     8856 |   0.677784

Rank | Word            |      Value
-----------------------------------
   1 | deg             |   0.010419
   2 | degr            |   0.009906
   3 | sail            |   0.008576
   4 | min             |   0.008059
   5 | indians         |   0.007755

######## Topic 3 ########
Documents: 24 (3.25%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      688 | Navigations_headed_xml/Parsed_texts/A45059_parsed_text.txt   |     6417 |   0.988299
   2 |      111 | Navigations_headed_xml/Parsed_texts/A37757_parsed_text.txt   |     6336 |   0.968558
   3 |      515 | Navigations_headed_xml/Parsed_texts/A46323_parsed_text.txt   |     8660 |   0.904686
   4 |      328 | Navigations_headed_xml/Parsed_texts/A32135_parsed_text.txt   |     9264 |   0.755141
   5 |       27 | Navigations_headed_xml/Parsed_texts/A41409_parsed_text.txt   |    10722 |   0.628597

Rank | Word            |      Value
-----------------------------------
   1 | parliament      |   0.016878
   2 | commons         |   0.009905
   3 | forces          |   0.008569
   4 | army            |   0.008036
   5 | duke            |   0.007783

######## Topic 4 ########
Documents: 35 (4.74%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |        6 | Navigations_headed_xml/Parsed_texts/A32165_parsed_text.txt   |    40593 |   0.908614
   2 |      192 | Navigations_headed_xml/Parsed_texts/A32673_parsed_text.txt   |    26909 |   0.869684
   3 |      578 | Navigations_headed_xml/Parsed_texts/A32167_parsed_text.txt   |    83040 |   0.851986
   4 |      314 | Navigations_headed_xml/Parsed_texts/A32172_parsed_text.txt   |    21958 |   0.837680
   5 |      264 | Navigations_headed_xml/Parsed_texts/A46602_parsed_text.txt   |    19749 |   0.826165

Rank | Word            |      Value
-----------------------------------
   1 | subjects        |   0.008139
   2 | have            |   0.007494
   3 | whatsoever      |   0.005855
   4 | goods           |   0.005752
   5 | unto            |   0.005521

######## Topic 5 ########
Documents: 26 (3.52%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      383 | Navigations_headed_xml/Parsed_texts/A09512_parsed_text.txt   |    11408 |   0.738966
   2 |      488 | Navigations_headed_xml/Parsed_texts/A13585_parsed_text.txt   |    49423 |   0.563456
   3 |      562 | Navigations_headed_xml/Parsed_texts/A14712_parsed_text.txt   |     7076 |   0.531212
   4 |       74 | Navigations_headed_xml/Parsed_texts/A14325_parsed_text.txt   |    50419 |   0.516743
   5 |      132 | Navigations_headed_xml/Parsed_texts/A22364_parsed_text.txt   |     9685 |   0.509137

Rank | Word            |      Value
-----------------------------------
   1 | vs              |   0.013120
   2 | virginia        |   0.012320
   3 | haue            |   0.011411
   4 | doe             |   0.009670
   5 | wee             |   0.009476

######## Topic 6 ########
Documents: 94 (12.72%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      633 | Navigations_headed_xml/Parsed_texts/A53049_parsed_text.txt   |   895564 |   0.800634
   2 |      307 | Navigations_headed_xml/Parsed_texts/A40859_parsed_text.txt   |    20469 |   0.782503
   3 |       21 | Navigations_headed_xml/Parsed_texts/A53044_parsed_text.txt   |   233381 |   0.736456
   4 |       88 | Navigations_headed_xml/Parsed_texts/A27606_parsed_text.txt   |   455986 |   0.678488
   5 |      238 | Navigations_headed_xml/Parsed_texts/A38791_parsed_text.txt   |    39408 |   0.649074

Rank | Word            |      Value
-----------------------------------
   1 | have            |   0.009282
   2 | us              |   0.004166
   3 | my              |   0.004058
   4 | love            |   0.003946
   5 | upon            |   0.003930

######## Topic 7 ########
Documents: 11 (1.49%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      479 | Navigations_headed_xml/Parsed_texts/A36049_parsed_text.txt   |   161732 |   0.999990
   2 |      222 | Navigations_headed_xml/Parsed_texts/A55497_parsed_text.txt   |   132987 |   0.999083
   3 |      448 | Navigations_headed_xml/Parsed_texts/A53234_parsed_text.txt   |    96208 |   0.998908
   4 |      359 | Navigations_headed_xml/Parsed_texts/A28785_parsed_text.txt   |   543195 |   0.991020
   5 |       91 | Navigations_headed_xml/Parsed_texts/A43412_parsed_text.txt   |    73355 |   0.737319

Rank | Word            |      Value
-----------------------------------
   1 | 15              |   0.015710
   2 | bridg           |   0.015556
   3 | 18              |   0.015113
   4 | 13              |   0.014518
   5 | 16              |   0.014397

######## Topic 8 ########
Documents: 63 (8.53%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      714 | Navigations_headed_xml/Parsed_texts/A26310_parsed_text.txt   |    86944 |   0.820731
   2 |      654 | Navigations_headed_xml/Parsed_texts/A31044_parsed_text.txt   |   138338 |   0.712996
