
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
   1 | virginia        |   0.039969 |      4.00%
   2 | plantations     |   0.024137 |      2.41%
   3 | tobacco         |   0.016444 |      1.64%
   4 | plantation      |   0.011330 |      1.13%
   5 | inne            |   0.009922 |      0.99%
   6 | proclamation    |   0.009444 |      0.94%
   7 | clothes         |   0.009066 |      0.91%
   8 | smith           |   0.008950 |      0.89%
   9 | vse             |   0.008765 |      0.88%
  10 | america         |   0.007475 |      0.75%
  11 | heires          |   0.007151 |      0.72%
  12 | wee             |   0.006797 |      0.68%
  13 | hereby          |   0.006707 |      0.67%
  14 | subiects        |   0.006533 |      0.65%
  15 | wales           |   0.006298 |      0.63%
  16 | royall          |   0.006034 |      0.60%
  17 | charles         |   0.005841 |      0.58%
  18 | colonies        |   0.005337 |      0.53%
  19 | trade           |   0.005287 |      0.53%
  20 | wooll           |   0.005220 |      0.52%

######## Topic 21 ########
Documents: 41 (5.55%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | riuer           |   0.010310 |      1.03%
   2 | citie           |   0.009750 |      0.98%
   3 | vnto            |   0.009038 |      0.90%
   4 | haue            |   0.008775 |      0.88%
   5 | hée             |   0.008486 |      0.85%
   6 | cittie          |   0.006688 |      0.67%
   7 | thrée           |   0.006349 |      0.63%
   8 | towne           |   0.006087 |      0.61%
   9 | vpon            |   0.005711 |      0.57%
  10 | iland           |   0.005446 |      0.54%
  11 | vppon           |   0.004650 |      0.46%
  12 | ilandes         |   0.004412 |      0.44%
  13 | verie           |   0.004216 |      0.42%
  14 | bée             |   0.004195 |      0.42%
  15 | countrie        |   0.004145 |      0.41%
  16 | turkes          |   0.003907 |      0.39%
  17 | golde           |   0.003832 |      0.38%
  18 | standeth        |   0.003639 |      0.36%
  19 | ouer            |   0.003539 |      0.35%
  20 | doo             |   0.003455 |      0.35%

######## Topic 22 ########
Documents: 4 (0.54%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | 18              |   0.027631 |      2.76%
   2 | 15              |   0.027221 |      2.72%
   3 | 13              |   0.026323 |      2.63%
   4 | 16              |   0.026073 |      2.61%
   5 | 17              |   0.024751 |      2.48%
   6 | 14              |   0.024747 |      2.47%
   7 | 19              |   0.024706 |      2.47%
   8 | 20              |   0.024333 |      2.43%
   9 | 22              |   0.022821 |      2.28%
  10 | 23              |   0.022137 |      2.21%
  11 | 21              |   0.021789 |      2.18%
  12 | 24              |   0.019546 |      1.95%
  13 | 28              |   0.019174 |      1.92%
  14 | 26              |   0.018647 |      1.86%
  15 | 27              |   0.018013 |      1.80%
  16 | 25              |   0.016960 |      1.70%
  17 | 32              |   0.015216 |      1.52%
  18 | 33              |   0.014039 |      1.40%
  19 | 12              |   0.013723 |      1.37%
  20 | 30              |   0.013580 |      1.36%

######## Topic 23 ########
Documents: 16 (2.17%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | maiestie        |   0.031241 |      3.12%
   2 | maiesties       |   0.023432 |      2.34%
   3 | haue            |   0.015333 |      1.53%
   4 | subiects        |   0.014809 |      1.48%
   5 | realme          |   0.014423 |      1.44%
