
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | turks           |   0.015334 |      1.53%
   2 | camp            |   0.011875 |      1.19%
   3 | army            |   0.010882 |      1.09%
   4 | vienna          |   0.009106 |      0.91%
   5 | duke            |   0.008954 |      0.90%
   6 | hungary         |   0.008539 |      0.85%
   7 | town            |   0.008054 |      0.81%
   8 | vizier          |   0.007912 |      0.79%
   9 | siege           |   0.007013 |      0.70%
  10 | elector         |   0.006636 |      0.66%
  11 | regiment        |   0.006576 |      0.66%
  12 | turkish         |   0.006526 |      0.65%
  13 | grand           |   0.006148 |      0.61%
  14 | enemy           |   0.006127 |      0.61%
  15 | count           |   0.005900 |      0.59%
  16 | cannon          |   0.005725 |      0.57%
  17 | poland          |   0.005641 |      0.56%
  18 | buda            |   0.005640 |      0.56%
  19 | visier          |   0.005549 |      0.55%
  20 | city            |   0.005468 |      0.55%

######## Topic 16 ########
Documents: 17 (2.30%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | river           |   0.010890 |      1.09%
   2 | us              |   0.009810 |      0.98%
   3 | have            |   0.008791 |      0.88%
   4 | having          |   0.008420 |      0.84%
   5 | we              |   0.007815 |      0.78%
   6 | highness        |   0.007630 |      0.76%
   7 | merchant        |   0.006509 |      0.65%
   8 | up              |   0.005902 |      0.59%
   9 | majesty         |   0.005352 |      0.54%
  10 | fleet           |   0.005209 |      0.52%
  11 | dutch           |   0.005097 |      0.51%
  12 | ship            |   0.005027 |      0.50%
  13 | my              |   0.004908 |      0.49%
  14 | passes          |   0.004575 |      0.46%
  15 | untill          |   0.004549 |      0.45%
  16 | voyage          |   0.004349 |      0.43%
  17 | board           |   0.003850 |      0.38%
  18 | themselves      |   0.003831 |      0.38%
  19 | upon            |   0.003718 |      0.37%
  20 | indians         |   0.003625 |      0.36%

######## Topic 17 ########
Documents: 14 (1.89%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | christ          |   0.011775 |      1.18%
   2 | city            |   0.004826 |      0.48%
   3 | sect            |   0.004760 |      0.48%
   4 | river           |   0.004247 |      0.42%
   5 | navigable       |   0.003328 |      0.33%
   6 | emperour        |   0.003277 |      0.33%
   7 | gold            |   0.003115 |      0.31%
   8 | asia            |   0.003045 |      0.30%
   9 | dinner          |   0.003009 |      0.30%
  10 | was             |   0.002988 |      0.30%
  11 | very            |   0.002966 |      0.30%
  12 | christians      |   0.002800 |      0.28%
  13 | him             |   0.002795 |      0.28%
  14 | silver          |   0.002719 |      0.27%
  15 | holy            |   0.002668 |      0.27%
  16 | persia          |   0.002663 |      0.27%
  17 | rich            |   0.002649 |      0.26%
  18 | constantinople  |   0.002627 |      0.26%
  19 | apostles        |   0.002532 |      0.25%
  20 | went            |   0.002517 |      0.25%

######## Topic 18 ########
Documents: 29 (3.92%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | subjects        |   0.015548 |      1.55%
   2 | majesties       |   0.015445 |      1.54%
   3 | majesty         |   0.014680 |      1.47%
   4 | britain         |   0.011066 |      1.11%
   5 | proclamation    |   0.009655 |      0.97%
   6 | aforesaid       |   0.009534 |      0.95%
   7 | whatsoever      |   0.009095 |      0.91%
   8 | said            |   0.008473 |      0.85%
   9 | wales           |   0.008135 |      0.81%
  10 | goods           |   0.007932 |      0.79%
  11 | shall           |   0.007485 |      0.75%
  12 | commissioners   |   0.007218 |      0.72%
  13 | charles         |   0.006923 |      0.69%
  14 | hereby          |   0.006824 |      0.68%
  15 | states          |   0.006713 |      0.67%
  16 | treaty          |   0.006283 |      0.63%
