
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
  17 | thrée           |   0.003361 |      0.34%
  18 | hauing          |   0.003242 |      0.32%
  19 | captaine        |   0.003220 |      0.32%
  20 | fiue            |   0.003191 |      0.32%

######## Topic 15 ########
Documents: 9 (1.22%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | que             |   0.015743 |      1.57%
   2 | qui             |   0.012227 |      1.22%
   3 | de              |   0.011552 |      1.16%
   4 | les             |   0.011489 |      1.15%
   5 | le              |   0.010171 |      1.02%
   6 | monsieur        |   0.008476 |      0.85%
   7 | est             |   0.007471 |      0.75%
   8 | la              |   0.007408 |      0.74%
   9 | et              |   0.007254 |      0.73%
  10 | quod            |   0.007194 |      0.72%
  11 | non             |   0.006981 |      0.70%
  12 | ordinance       |   0.006599 |      0.66%
  13 | du              |   0.006267 |      0.63%
  14 | cum             |   0.006041 |      0.60%
  15 | il              |   0.006032 |      0.60%
  16 | quae            |   0.005994 |      0.60%
  17 | city            |   0.005767 |      0.58%
  18 | parliament      |   0.005598 |      0.56%
  19 | des             |   0.005286 |      0.53%
  20 | paid            |   0.005192 |      0.52%

######## Topic 16 ########
Documents: 20 (2.71%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | wyth            |   0.024236 |      2.42%
   2 | theyr           |   0.022551 |      2.26%
   3 | whiche          |   0.018607 |      1.86%
   4 | hys             |   0.014217 |      1.42%
   5 | tyme            |   0.011856 |      1.19%
   6 | vnto            |   0.011390 |      1.14%
   7 | haue            |   0.011308 |      1.13%
   8 | dyd             |   0.010858 |      1.09%
   9 | doo             |   0.009765 |      0.98%
  10 | sayde           |   0.009476 |      0.95%
  11 | suche           |   0.009459 |      0.95%
  12 | kyng            |   0.009320 |      0.93%
  13 | greate          |   0.009312 |      0.93%
  14 | citie           |   0.009139 |      0.91%
  15 | hée             |   0.008905 |      0.89%
  16 | thys            |   0.008177 |      0.82%
  17 | cittie          |   0.007926 |      0.79%
  18 | moste           |   0.007693 |      0.77%
  19 | myles           |   0.007190 |      0.72%
  20 | vppon           |   0.007006 |      0.70%

######## Topic 17 ########
Documents: 23 (3.11%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | hym             |   0.036226 |      3.62%
   2 | grete           |   0.019144 |      1.91%
   3 | kynge           |   0.018736 |      1.87%
   4 | whan            |   0.018426 |      1.84%
   5 | londe           |   0.016072 |      1.61%
   6 | theyr           |   0.015619 |      1.56%
   7 | wyll            |   0.014451 |      1.45%
   8 | myles           |   0.012258 |      1.23%
   9 | myght           |   0.011546 |      1.15%
  10 | saynt           |   0.010512 |      1.05%
  11 | syr             |   0.010122 |      1.01%
  12 | wolde           |   0.010085 |      1.01%
  13 | yf              |   0.010001 |      1.00%
  14 | yere            |   0.009630 |      0.96%
  15 | whiche          |   0.009344 |      0.93%
  16 | sholde          |   0.008775 |      0.88%
  17 | theym           |   0.008396 |      0.84%
  18 | ye              |   0.008282 |      0.83%
  19 | moche           |   0.008123 |      0.81%
  20 | sayd            |   0.008017 |      0.80%

######## Topic 18 ########
Documents: 31 (4.19%)  |  Average row value: 0.000200
