
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
   1 |      576 | Navigations_headed_xml/Parsed_texts/A22581_parsed_text.txt   |     6661 |   0.988192
   2 |       62 | Navigations_headed_xml/Parsed_texts/A22595_parsed_text.txt   |     8929 |   0.956702
   3 |      316 | Navigations_headed_xml/Parsed_texts/A22111_parsed_text.txt   |     6817 |   0.929694
   4 |      584 | Navigations_headed_xml/Parsed_texts/A21666_parsed_text.txt   |     8709 |   0.897048
   5 |      660 | Navigations_headed_xml/Parsed_texts/A22067_parsed_text.txt   |     8663 |   0.895669

Rank | Word            |      Value
-----------------------------------
   1 | maiestie        |   0.017892
   2 | maiesties       |   0.017821
   3 | subiects        |   0.016902
   4 | realme          |   0.016631
   5 | proclamation    |   0.012895

######## Topic 6 ########
Documents: 31 (4.19%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      623 | Navigations_headed_xml/Parsed_texts/A06333_parsed_text.txt   |   157807 |   0.737398
   2 |      277 | Navigations_headed_xml/Parsed_texts/A21246_parsed_text.txt   |    38239 |   0.731782
   3 |      237 | Navigations_headed_xml/Parsed_texts/A05576_parsed_text.txt   |    34613 |   0.681625
   4 |      593 | Navigations_headed_xml/Parsed_texts/A19381_parsed_text.txt   |    41531 |   0.635763
   5 |      574 | Navigations_headed_xml/Parsed_texts/A14328_parsed_text.txt   |   404009 |   0.618129

Rank | Word            |      Value
-----------------------------------
   1 | my              |   0.008769
   2 | your            |   0.007953
   3 | you             |   0.007264
   4 | thy             |   0.006729
   5 | haue            |   0.006714

######## Topic 7 ########
Documents: 36 (4.87%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |       53 | Navigations_headed_xml/Parsed_texts/A04024_parsed_text.txt   |    61637 |   0.999978
   2 |      317 | Navigations_headed_xml/Parsed_texts/A01564_parsed_text.txt   |     9831 |   0.999413
   3 |      611 | Navigations_headed_xml/Parsed_texts/A20033_parsed_text.txt   |    37571 |   0.998524
   4 |      427 | Navigations_headed_xml/Parsed_texts/A06812_parsed_text.txt   |   209566 |   0.997761
   5 |      735 | Navigations_headed_xml/Parsed_texts/A06813_parsed_text.txt   |    84957 |   0.997628

Rank | Word            |      Value
-----------------------------------
   1 | hym             |   0.028075
   2 | theyr           |   0.018694
   3 | whiche          |   0.015129
   4 | grete           |   0.013736
   5 | kynge           |   0.013439

######## Topic 8 ########
Documents: 15 (2.03%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      683 | Navigations_headed_xml/Parsed_texts/A51536_parsed_text.txt   |    13947 |   0.764098
   2 |      721 | Navigations_headed_xml/Parsed_texts/A19054_parsed_text.txt   |     9083 |   0.726124
   3 |      359 | Navigations_headed_xml/Parsed_texts/A28785_parsed_text.txt   |   543195 |   0.642971
   4 |      736 | Navigations_headed_xml/Parsed_texts/A42314_parsed_text.txt   |   147169 |   0.594060
   5 |      399 | Navigations_headed_xml/Parsed_texts/A12689_parsed_text.txt   |    44300 |   0.588294

Rank | Word            |      Value
-----------------------------------
   1 | north           |   0.006551
   2 | south           |   0.005674
   3 | east            |   0.005466
   4 | island          |   0.005033
   5 | west            |   0.004671

######## Topic 9 ########
Documents: 55 (7.44%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      705 | Navigations_headed_xml/Parsed_texts/A48692_parsed_text.txt   |     8273 |   0.999183
   2 |       29 | Navigations_headed_xml/Parsed_texts/A53237_parsed_text.txt   |     3591 |   0.990708
