######## Topic 0 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
  12 | set             |   0.000721 |      0.07%
  13 | six             |   0.000719 |      0.07%
  14 | kingdom         |   0.000709 |      0.07%
  15 | general         |   0.000687 |      0.07%
  16 | carry           |   0.000677 |      0.07%
  17 | ambassadors     |   0.000645 |      0.06%
  18 | persons         |   0.000643 |      0.06%
  19 | inhabitants     |   0.000638 |      0.06%
  20 | whereof         |   0.000624 |      0.06%
  21 | empire          |   0.000619 |      0.06%
  22 | lies            |   0.000606 |      0.06%
  23 | person          |   0.000575 |      0.06%
  24 | governor        |   0.000568 |      0.06%
  25 | persians        |   0.000562 |      0.06%
  26 | thence          |   0.000551 |      0.06%
  27 | mountains       |   0.000535 |      0.05%
  28 | cities          |   0.000535 |      0.05%
  29 | army            |   0.000530 |      0.05%
  30 | chinese         |   0.000530 |      0.05%
  31 | hollanders      |   0.000529 |      0.05%
  32 | likewise        |   0.000523 |      0.05%

Excluded Words:
is, are, but, as, or, from, be, not, them, great


######## Topic 10 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | given           |   0.002036 |      0.20%
   2 | line            |   0.001847 |      0.18%
   3 | min             |   0.001825 |      0.18%
   4 | sun             |   0.001691 |      0.17%
   5 | point           |   0.001679 |      0.17%
   6 | distance        |   0.001677 |      0.17%
   7 | deg             |   0.001574 |      0.16%
   8 | latitude        |   0.001528 |      0.15%
   9 | divers          |   0.001298 |      0.13%
  10 | degrees         |   0.001285 |      0.13%
  11 | between         |   0.001151 |      0.12%
  12 | meridian        |   0.001133 |      0.11%
  13 | used            |   0.001064 |      0.11%
  14 | difference      |   0.001032 |      0.10%
  15 | silver          |   0.001028 |      0.10%
  16 | length          |   0.001023 |      0.10%
  17 | course          |   0.001010 |      0.10%
  18 | degr            |   0.000992 |      0.10%
  19 | untill          |   0.000901 |      0.09%
  20 | draw            |   0.000887 |      0.09%
  21 | angle           |   0.000869 |      0.09%
  22 | finde           |   0.000860 |      0.09%
  23 | hour            |   0.000836 |      0.08%
  24 | severall        |   0.000829 |      0.08%
  25 | twelve          |   0.000774 |      0.08%
  26 | service         |   0.000773 |      0.08%
  27 | serve           |   0.000763 |      0.08%
  28 | case            |   0.000758 |      0.08%
  29 | seven           |   0.000745 |      0.07%
  30 | sides           |   0.000736 |      0.07%
  31 | circle          |   0.000732 |      0.07%
  32 | leave           |   0.000693 |      0.07%
  33 | observed        |   0.000681 |      0.07%
  34 | longitude       |   0.000653 |      0.07%
  35 | generall        |   0.000641 |      0.06%
  36 | bring           |   0.000640 |      0.06%
  37 | cut             |   0.000635 |      0.06%
  38 | named           |   0.000635 |      0.06%
  39 | heaven          |   0.000593 |      0.06%
  40 | sine            |   0.000590 |      0.06%
  41 | points          |   0.000584 |      0.06%
  42 | march           |   0.000571 |      0.06%
  43 | pole            |   0.000567 |      0.06%

Excluded Words:
is, have, be, as, from, or, upon, unto, so, you


######## Topic 11 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | france          |   0.002860 |      0.29%
   2 | french          |   0.002253 |      0.23%
   3 | majesty         |   0.001900 |      0.19%
   4 | goods           |   0.001889 |      0.19%
   5 | states          |   0.001732 |      0.17%
   6 | peace           |   0.001620 |      0.16%
   7 | subjects        |   0.001605 |      0.16%
   8 | war             |   0.001485 |      0.15%
   9 | officers        |   0.001222 |      0.12%
  10 | majesties       |   0.001167 |      0.12%
  11 | master          |   0.001163 |      0.12%
  12 | lords           |   0.001138 |      0.11%
  13 | pay             |   0.001129 |      0.11%
  14 | com             |   0.001090 |      0.11%
  15 | money           |   0.001058 |      0.11%
  16 | power           |   0.001056 |      0.11%
  17 | merchants       |   0.001049 |      0.10%
  18 | aforesaid       |   0.001041 |      0.10%
  19 | common          |   0.001003 |      0.10%
  20 | office          |   0.000997 |      0.10%
  21 | prince          |   0.000972 |      0.10%
  22 | nation          |   0.000925 |      0.09%
  23 | parliament      |   0.000895 |      0.09%
  24 | princes         |   0.000882 |      0.09%
